worstAvgLatency;avgAvgLatency;avgAvgThroughputOut;avgAvgThroughputIn;method name;date;threads count;#runs in thread;sleep;
0,007695;0,007054;2,291128;0,573292;oknio.test.MethodTrashBinconcatRand;Sun Feb 10 22:21:05 GST 2013;10;100;3;
0,007183;0,006718;2,395003;0,601956;oknio.test.MethodTrashBin.concatRand;Sun Feb 10 22:21:35 GST 2013;10;100;3;
0,007417;0,006992;2,298813;0,578338;oknio.test.MethodTrashBin.concatRand;Sun Feb 10 22:23:27 GST 2013;10;100;3;
0,006739;0,005564;2,935264;0,726772;oknio.test.MethodTrashBin.concatRand;Sun Feb 10 22:24:45 GST 2013;10;100;3;
0,006660;0,006259;2,570785;0,646129;oknio.test.MethodTrashBin.concatRand;Sun Feb 10 22:30:23 GST 2013;10;100;3;
0,007644;0,006266;2,587369;0,645363;oknio.test.MethodTrashBin.concatRand;Sun Feb 10 22:31:28 GST 2013;10;100;3;
0,018681;0,017994;0,895140;0,224742;oknio.test.MethodTrashBin.concatRand;Sun Feb 24 23:21:43 GST 2013;10;100;3;
0,014526;0,012062;1,343976;0,335276;oknio.test.MethodTrashBin.concatRand;Sun Feb 24 23:21:57 GST 2013;10;100;3;
0,020008;0,016873;0,961525;0,239669;oknio.test.MethodTrashBin.concatRand;Sun Feb 24 23:25:07 GST 2013;10;100;3;
0,017951;0,017421;0,922712;0,232130;oknio.test.MethodTrashBin.concatRand;Sun Feb 24 23:26:23 GST 2013;10;100;3;
0,014063;0,011692;1,386653;0,345874;oknio.test.MethodTrashBin.concatRand;Sun Feb 24 23:26:38 GST 2013;10;100;3;
0,015594;0,014958;1,077915;0,270355;oknio.test.MethodTrashBin.concatRand;Sun Feb 24 23:33:43 GST 2013;10;100;3;
0,012125;0,011484;1,408547;0,352150;oknio.test.MethodTrashBin.concatRand;Sun Feb 24 23:34:58 GST 2013;10;100;3;
0,008618;0,008244;1,946182;0,490509;oknio.test.MethodTrashBin.concatRand;Sun Feb 24 23:35:04 GST 2013;10;100;3;
